id, Blood_Bank_Name, State, District, City,Pincode, Mobile, Email,Name, Qualification , Category, Blood_Component_Available, Apheresis, Service_Time, Date_License_Obtained, Latitude, Longitude
33,M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,EAST GODAVARI,Rajahmundry,533103,9885186533,dvbbrjy@gmail.com,"Dr K Srinivasa Murthy		",MBBS MD Microbiology; Diploma In medical Virology,Charity,YES,YES,"24x7	",16.03.2007,17.00787,81.785213
34,M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,EAST GODAVARI,Tuni,533401,"09849030908, 09505615556",tunibloodbank@yahoo.com,Dr. C. Salmon raj,"MBBS, DCP",Government,NO,NO,24x7,04.09.2009,17.354937,82.541241
35,M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,EAST GODAVARI,Tuni,533401,"09347911130, 09948456739",NULL,Dr. D. RatNULLlal NULLik,MBBS,Charity,NO,NO,"24x7	",28.08.2009,0,0
36,Government General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur,522001,9966641474,bloodbank.ggh.gnt@gmail.com,"Dr. ANULLsuyamma, Dr. Maruthi Devi 					","MBBS, MD (Pathology)",Government,YES,NO,"24x7	",9.03.1997,16.299747,80.443689
37,Indian Red Cross Society,Andhra Pradesh,GUNTUR,Guntur,522004,9985322589,redcrossbloodbankguntur@yahoo.co.in,NULL,NULL,Charity,YES,NO,24x7,NULL,16.306653,80.43654
38,Indian Red Cross Society Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,522004,"09848181601, 08121751295	",NULL,"Dr. Y. Prabhavathi	",MBBS,Charity,NO,NO,"24x7	",23.01.2006,16.306653,80.43654
39,Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,522001,9246600777,NULL,Mr. Srinivas (Project Director)           ,NULL,Charity,YES,NULL,NULL,NULL,0,0
40,Padmavathi Day & Night Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,522001,NULL,NULL,Dr. V. V. Subba Rao,NULL,Private,YES,NULL,NULL,NULL,0,0
41,M/s. Needs Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,522001,9246448899,needsbloodbankguntur@gmail.com,"Dr. Sivaram Prasad, Dr. Kishore 		",MBBS ,Charity,YES,YES,24x7,"23.06.2008	",16.29882,80.448888
42,M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,522001,NULL,NULL,NULL,NULL,Private,YES,NULL,NULL,NULL,0,0
43,Saint Joseph General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,522001,9493819977,NULL,Sr. Dr. Any,"MBBS, DGO",Charity,NO,NO,"24x7				","17.07.1997	",16.297514,80.440648
44,NTR Memorial Trust Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,522001,NULL,NULL,Mr. Sashi Dhar (MaNULLger)    ,NULL,Charity,YES,NULL,NULL,NULL,0,0
45,Katuri Medical College and Hospital Blood Bank ,Andhra Pradesh,GUNTUR,Guntur Rural,522019,NULL,katuribloodbank@gmail.com,Dr. T. Mahathi.,MD (Pathology) ,Private,YES,NO,"24x7	",30.09.2003,16.227872,80.30947
47,Manipal Hospital Bloodbank,Andhra Pradesh,GUNTUR,Guntur Rural,522501,NULL,NULL,Dr. C. Sita Latha,"MBBS, MD (Pathology) ",Private,YES,YES,"24x7	","29.10.2010			",16.484433,80.617219
48,Indian Red Cross Society Blood Bank. narassraopet,Andhra Pradesh,GUNTUR,Narasaraopeta,522601,"09885222155, 09885838866",nrtbloodbankircs@gmail.com,Dr. Babu Reddy ,NULL,Charity,NO,NULL,24x7,NULL,16.235919,80.048412
49,NRT Blood Bank,Andhra Pradesh,GUNTUR,Narasaraopeta,522601,9985148884,nrtbioodbank@gmail.com,"Dr. K. Priyanka 	","MBBS, DA",Private,YES,YES,24X7,"07.01.2015			",16.193331,80.019956
50,Anjireddy Multi Specality Blood Bank ,Andhra Pradesh,GUNTUR,Piduguralla,522413,9849212042,NULL,Dr. C. C. Subba Rao,MBBS,Private,YES,NO,24X7,12.11.2014,16.478789,79.893642
51,Red Cross Blood Bank,Andhra Pradesh,GUNTUR,Repalle,522265,9177883353,rplredcrossbb@gmail.com,Dr. V. Veera Raghavaiah,"MBBS, DCH",Charity,NO,NO,24x7,"03.11.2006	",16.017425,80.829475
52,Area Hospital (Repeated),Andhra Pradesh,GUNTUR,Tenali,522201,9866686760,teNULLlibloodbank@gmail.com,NULL,NULL,NULL,NULL,NULL,24x7,NULL,16.239531,80.64934
53,APVVP District Hospital Blood Bank,Andhra Pradesh,GUNTUR,Tenali,522202,NULL,NULL,Dr. Sujhatha,NULL,Government,YES,NULL,NULL,NULL,0,0
54,Rudhira Voluntary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,522201,9247155622,"maruthi_NULLgalingam@yahoo.com	",Dr. C. Rajesh,MBBS,Private,NO,NO,24x7,20.08.2010,16.243428,80.646397
55,Best Rotary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,522201,"09849833321	",NULL,Dr. Siva Vara Prasad,"MBBS	",Private,NO,NO,24X7,"27.02.2010	",16.251179,80.64934
56,Area Hospital Blood Bank,Andhra Pradesh,KRISHna,Gudivada,521301,7799990904,areahospital.gudivada@gmail.com,Dr. SatyaNULLrayaNULL,"MBBS, Diploma in Orthopaedics",Government,NO,NO,24x7,17.04.1997,16.349045,81.049715
57,Dr. Pattabhi Red Cross Blood Bank ,Andhra Pradesh,KRISHna,Machilipatnam,521001,NULL,drprcbloodbankmtm@gmail.com,Dr. S. V. RamaNULL,"MBBS, DA, DLO",Charity,NO,NO,24x7,10.08.2004,16.190546,81.136154
58,Government General Hospital (Repeated),Andhra Pradesh,KRISHna,Vijayawada,520007,8662452244,gghbbvij@gmail.com,NULL,NULL,NULL,NULL,NULL,24x7,NULL,16.513339,80.618989
59,Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,KRISHna,Vijayawada,521001,NULL,dhmtmbb@gmail.com,DR .A.B.S. SRINIVASARAO,MD D ORTHO,Government,NO,NULL,24x7,NULL,16.176867,81.138647
60,Rotary Red Cross Blood Bank,Andhra Pradesh,KRISHna,Vijayawada,520003,9848124977,redcrosskrishNULL@gmail.com,Dr. S. MadhaNULL Mohan,MBBS,Charity,YES,NO,24x7,18.02.2002,16.506174,80.648015
61,Vijaya Sri Blood Bank,Andhra Pradesh,KRISHna,Vijayawada,520002,9392120187,vijayasribloodbankvja @gmail.com,Dr.T.Gopala KrishNULL Murthy,MBBS,Charity,YES,YES,24x7,29-04-2013,16.51304,80.635644
62,Lions Blood Bank,Andhra Pradesh,KRISHna,Vijayawada,520002,NULL,lionsbloodbank@yahoo.com,Dr. Kiran Kumar,MBBS,Charity,NO,NO,24x7,18.12.2009,16.506174,80.648015
63,University General Hospital Blood Bank,Andhra Pradesh,KRISHna,Vijayawada,520208,v,"gghbbvij@gmail.com	",Dr. V. Kiranmayee,"MBBS, MD (Bio-chemistry)",Government,NO,NO,"24x7			",28.01.1997,16.516111,80.670085
64,M/s. Chaitanya Blood Bank,Andhra Pradesh,KRISHna,Vijayawada,520010,9246289777,NULL,Dr. Rama Reddy,MBBS (MD Pathology),Charity,YES,YES,24x7,21.12.2010,16.498839,80.655488
65,Nagarjuna Hospital Blood Bank,Andhra Pradesh,KRISHna,Vijayawada,NULL,9848141550,NULL,NULL,NULL,Private,NO,NULL,NULL,NULL,0,0
66,Saint Ann&#39;s Hospital Blood Bank  ,Andhra Pradesh,KRISHna,Vijayawada,520 002,NULL,annshospitall@gmail.com,Dr. Rama,MBBS,Private,NO,NO,"24x7	","07.08.2001		",0,0
67,Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,KRISHna,Vijayawada,520 003,NULL,NULL,NULL,NULL,Charity,NO,NULL,NULL,NULL,0,0
68,Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Andhra Pradesh,KRISHna,Vijayawada,521286,NULL,NULL,Dr. Ranga Rao,"MBBS, MD (Pathology)",Private,YES,NO,"24x7	",08.04.2003,16.551655,80.832047
69,Bethesda Blood Bank,Andhra Pradesh,KRISHna,Vijayawada,NULL,098498 33321,NULL,NULL,NULL,NULL,NO,NULL,NULL,NULL,16.512971,80.632664
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,KRISHna,Vijayawada,520002,9849118077,lionsbloodbank@yahoo.com,Dr K S R K Prasad,MBBS,Charity,YES,YES,24x7,14.12.2005,16.510309,80.63251
71,Suraksha Voluntary Blood Bank,Andhra Pradesh,KRISHna,Vijayawada,520002,9394777899,surakshabloodbank@gmail.com,Dr. C. S. R. Prasad,"MBBS, MS",Charity,YES,NO,"24x7	",22.04.2009,16.51343,80.632861
72,M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,KRISHna,Vijayawada,520008,8498061158,NULL,"Dr. P. Padma, Dr. Prahlad Rao	","MBBS, MD (Pathology)",Private,YES,YES,24x7,22.05.2014,0,0
73,M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,KRISHna,Vijayawada,521456,NULL,nimrabloodbank@gmail.com,NULL,NULL,Private,YES,NO,NULL,NULL,0,0
74,"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,Adoni,518301,9440503302,drhsivareddy123@gmail.com,NULL,NULL,Government,NO,NO,24x7,12-10-2010,15.632223,77.272837
75,M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,KURNOOL,Adoni,518301,9440503302,NULL,"Dr. Shiva Reddy	",MBBS,Charity,NO,NO,24x7,12.10.2010,15.632223,77.272837
76,M/s. Government General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,518002,9985676311,knlgghbloodbank@gmail.comsupdtgghknl@gmail.com,NULL,NULL,Government,NULL,NULL,24x7,NULL,15.820654,78.038088
77,M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,518002,9490601960,indianredcrossknl@yahoo.com,"Dr. M. Venkatayya, Dr. Mumtaz Aziz","MBBS, MD (Pathology)",Charity,YES,YES,"24x7	",03.03.2004,15.816357,78.040317
78,M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,518002,NULL,NULL,NULL,NULL,Government,NULL,NULL,NULL,NULL,0,0
79,M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,518002,NULL,NULL,NULL,NULL,Charity,NULL,NULL,NULL,NULL,0,0
80,M/s. R.R. Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,518004,9966662331,NULL,"Dr. Rahul Balamaddayya	","MBBS, MS",Private,YES,YES,"24x7	",14.07.2009,15.82872,78.035743
81,District Hospital Blood Bank ,Andhra Pradesh,KURNOOL,Nandyal,518502,9959912781,bbdhNULLndyal@gmail.com,Dr. K. Sunil Kumar,"MBBS, MD (Pathology)",Government,NO,NO,24x7,30.11.2000,15.469336,78.482935
82,M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Nandyal,518501,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0
83,Government Hospital Blood Bank,Andhra Pradesh,KURNOOL,Srisailam Project,518101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24x7,NULL,16.0833,78.8667
84,M/s. Area Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Chirala,523155,9441743892,shaikabdulhafiz@gmail.com,Dr. M. Priyamvada,MBBS,Government,NO,NO,24x7,17.04.1997,15.825971,80.36127
85,Indian Red Cross Society Blood bank,Andhra Pradesh,PRAKASAM,Markapur,523316,9440211131,ahmarkapur@yahoo.com,Dr. P. Pitchi Reddy,MBBS,Charity,NO,NO,24x7,13.08.2008,15.736154,79.269125
86,M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,523001,9000991884,bloodbankrimsongole@gmail.com,NULL,NULL,Government,NO,NULL,24x7,19-05-2011,15.487882,80.047144
87,Indian Red Cross Society Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,523001,9247264635,ircsbbongole@gmail.com,Dr. K.SHAMMI KASTHURI,MBBS,Charity,NO,NO,24x7,14.06.1999,15.505723,80.049922
88,M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,523001,"09247023117, 09848999117",ehara.rao0900@gmail.com,Dr. G. Raghav,MBBS MD (Gen.Med),Charity,NO,NO,"24x7	",03.10.2011,15.481367,80.05908
89,M/s. Belief Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,523001,9849499988,NULL,Dr. C. H. RaviKumar,MBBS (Orthopaedics),Charity,YES,YES,"24x7			",NULL,15.481367,80.05908
90,Government Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Gudur,524101,8008553616,ahgudur@yahoo.com,Dr.SAGILI RAVIBABU,"MBBS,DTCD;",Government,NO,NO,24x7,NULL,14.146545,79.848756
91,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,SPSR NELLORE,Kavali,524201,9849850498,NULL,NULL,NULL,Charity,NULL,NULL,NULL,NULL,0,0
92,M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,524201,9247708602,NULL,NULL,NULL,Government,NULL,NULL,NULL,NULL,0,0
93,M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,524201,9849850498,NULL,Dr. B. Ravi Kumar,MBBS,Charity,NO,NO,24x7,20.10.2011,14.913181,79.99298
94,Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,524003,9347033100,redcross_nlr@yahoo.com,Dr. Penchala Subbaiah,MBBS,Charity,YES,NO,24x7,"17.07.1997	",14.426777,79.959008
95,District Headquarters Hospital (Repeated),Andhra Pradesh,SPSR NELLORE,Nellore,524003,92477088602,dsrbbnlr@gmail.com,NULL,NULL,NULL,NULL,NULL,24x7,NULL,14.435424,79.966831
96,D.S.R. Headquarters Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,524002,NULL,NULL,NULL,NULL,Government,NULL,NULL,NULL,NULL,0,0
97,Narayana Medical College & Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,524002,NULL,NULL,"Dr. Yashovardhan, Dr. Sundaram","MBBS, MD (Transfusion Medicine)",Private,YES,YES,"24x7	",13.11.2008,14.442599,79.986456
98,Gems Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Ragolu,532001,9391489207,NULL,Dr. K. Venkateswara Rao,"MBBS, DCP",Private,NO,NO,"24x7	",03.06.2011,18.289087,83.9056
99,GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Rajam,532127,NULL,NULL,"Dr. R. Sudhakar	","MBBS, MD (Pathology)",Private,YES,NO,24x7,"26.11.2013		",18.461272,83.658352
100,Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,532001,9701501018,bbrimssklm@gmail.com,"Dr. K. PaparatNULLm,MD","MBBS, MD (Pathology)",Government,YES,NO,24x7,19.08.1997,18.312884,83.887717
101,Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,532001,NULL,secretary.redcrosssklm@gmail.com,"Dr. G. Satyavathi	",MBBS,Charity,NO,NO,24x7,27.02.2016,18.296359,83.894549
102,District Hospital,Andhra Pradesh,VISAKHAPATnaM,Anakapalli,531001,9848325561,bloodbank.ahakp@gmail.com,NULL,NULL,Government,YES,NO,24x7,NULL,17.689592,82.997733
103,M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,VISAKHAPATnaM,Anakapalli,531001,9491817042,bloodbank.ahakp@gmail.com,Dr. R. Rama Dasu,MD (Pathology),Government,NO,NO,8 Hrs,17.11.2003,17.686427,83.218576
104,M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,VISAKHAPATnaM,Gajuwaka,530032,"07702917979, 08912888462",NULL,Dr. A. Shanthi Priya,MD (Pathology),Government,NO,NO,"24x7			",16.04.1996,17.662908,83.144127
105,M/s. INHS Kalyani Blood Bank,Andhra Pradesh,VISAKHAPATnaM,Gajuwaka,530005,NULL,NULL,NULL,NULL,NULL,NO,NULL,NULL,NULL,0,0
106,M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,VISAKHAPATnaM,Sangivalasa,531162,NULL,nriims@gmail.com,Dr. Ms. C. P. Pushpavathi,"MBBS, DIBT",Private,YES,NO,24X7,"06.03.2007	",17.97256,83.432338
107,M/s. King George Hospital (KGH) Blood Bank ,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam,530002,8912563345,kgh_vsp@ap.nic.in,Dr. Syamala,MBBS,Government,YES,NO,24x7,28.01.1997,17.70667,83.303737
108,M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam,530001,9059522294,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",Dr. K. Chandra Sekhar Dev,M.S E.N.T,Government,NO,NULL,24x7,19-06-1905,17.686816,83.218482
109,M/s. Indian Red Cross Society Blood Bank ,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam,530002,9848027203,secretaryvspredcross@gmail.com,"Dr. M. Lakshmi,  Dr. P. JaganNULLtham, Dr. P. Venugopal","MBBS, MD. DCH	",Charity,YES,NO,24x7,02.12.2004,17.686816,83.218482
110,M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam,530002,9848193503,rotarybloodbankvsp@gmail.com,"Dr. P. Kamala Devi		",MBBS,Charity,YES,YES,24x7,27.01.2003,17.686816,83.218482
111,M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam ,530002,NULL,Jhansilaxmi-a@apollohospital.com,Dr. V. Bhushan Rao,"MD (Pathology)	",Private,NO,NO,24x7,"03.10.2000	",17.717084,83.309208
112,M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam,530002,9848199322,NULL,Dr. Venkatesh Giri,MD (Pathology),Private,NO,NO,24x7,12.10.2009,17.71737,83.309268
113, A. S. Raja Voluntary Blood Bank,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam ,530002,9393963436,asrajavbloodbank@gmail.com,Dr. A. Sugandhi,"MBBS, MD ,Pathology.",Charity,YES,NO,24x7,06.09.1995,17.720274,83.313048
114,M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam,530002,"91,77,23,43,07,09,39,30,00,000",lionsbloodbankvsp@gmail.com,Dr. K. Manjula Vani,"MBBS, DGO",Charity,YES,NO,"24X7	",07.06.2012,17.719063,83.311286
115,M/s. N.T.R. Memorial Trust Blood Bank ,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam,530002,"09032005619	",NULL,"Dr. P S Vasantha Rao		","MBBS	",Charity,YES,YES,24X7,30.05.2013,17.691575,83.238891
116,M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam ,530045,9985556050,directorgims@gitam.edu,Dr. Anju Ramesh Choudhary,"MBBS, DCP",Private,YES,YES,"24x7		",19.05.2015,17.784938,83.374975
117,M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,VISAKHAPATnaM,Visakhapatnam ,530048,7675808026,gvphospital@gmail.com,Dr. M. Subramania sharma,MD (Pathology),Private,YES,NO,"24x7					",28.08.2015,17.689433,83.211615
